,full_text,emotion
97,paddy mcnair luar biasa memulai babak pertama sangat lambat pantas menang keseluruhan tidak memanfaatkan peluang dan memberi dorongan kami berada performa sangat bagus,Neutral
98,pagi pagi ngantuk,Neutral
99,luar biasa,Neutral
100,ratusan woi baik baik ada lubang bekas tambang kawasan ibu kota negara ikn nusantara luas ribu hektare lubang dihasilkan total konsesi perusahaan tambang,Neutral
101,istilah kuda hitam banyak digunakan sepak bola tim tidak diunggulkan tiba melejit mengalahkan tim unggulan disebut kuda hitam biasanya tim hebat dimasa lalu lama tertidur kemudian bangkit nah melalui ahy saja dipemilu bangkit,Neutral
102,cintailah seorang wanita dua wanita terlalu banyak,Neutral
103,sebelumnya pernah bahas ngerinya jalinsum mau jalan biasa atopun tol penjahat ada bedanya petugas lebih bernyali dibanding penjahat disana,Neutral
104,bungkus,Neutral
105,daerah beling ada yaa namanya si paling mengabdi siap daerah mana mukasongong,Neutral
106,selamat pagi kara saja dong jawab iya b auramu cantik anggun sekali saya ngelihatnya amazed serius n jarang mengobrol iya kara ayo kapan kapan bicara you seem like a fun person to talk with,Neutral
107,akhirnya sampai titik melihatmu merasa biasa,Neutral
108,personal order buat pbox kami share yaa square kode nyaa yang mau silahkan langsung replay di square langsung dm kesini ditunggu jam pm,Neutral
109,stop sudah stop sini tiap hari mandinya pakai air biasa,Neutral
110,memelihara kota tidak mampu apa membangun kota,Neutral
111,mh suster pak eh bapak apa kabar,Neutral
112,daddy kan je kacau yailah biasa kacau kan,Neutral
113,kasih menutupi banyak kesalahan kasihilah musuhmu bagaimana engkau mengasihi tuhan tidak kelihatan bila manusia terlihat tidak kamu kasihi,Neutral
114,luar biasa iya,Neutral
115,juga masalah sembuh sendiri sama sekali didiamkan dibawa aktifitas biasa hati hati bisa radang akhir pekan ayuning ada rencana apa,Neutral
116,salah orang pikirannya negatif terus beginian doanh sebenarnya biasa tapi nanti saja marah marah,Neutral
117,adalah manusia biasa patut dibenci selamanya saya mau tahu ingin bertanya salahku kepadamu,Neutral
118,malioboro tuh dicari iya orang jualannya kalau dipindahin jadi apa dong jalan biasa,Neutral
119,tunggu kedepannya semoga hp ku kuat,Neutral
120,ganti dengan kata komplotan,Neutral
121,anonim pak dok ava nya colongan biasa mancing keributan usah dlayanin,Neutral
122,kalau etika menaiki kereta kucari internet semalam ada melarang tiduran kompartemen kereta lalu tersenyum asal kamu berisik mengotori kompartemen saja,Neutral
123,hargailah orang mencintaimu saat telah pergi darimu sesal yang tersisa,Neutral
124,biasa saya malah tiap update igs lebih tahu diri caption nya disaranin jangan dibawa tt warga sana langsung ditelen mentah terus tar nain diserang waktu jam digosipin dating si mba nya langsung diserang netijen indo padahal mba nya orang indo,Neutral
125,ngeliat story mantan nikahan gini nih rasanya yaelah biasa sedih sedihnya tidak tahu mantan lain mah,Neutral
126,yeaa biasa,Neutral
127,mu third last nike size xl excellent beberapa bobles k untuk detail silahkan,Neutral
128,halo bikin akun karyakarsa mau dukung sana saja terima kasih,Neutral
129,alangkah bahagia menjadi manusia ketika nafasnya terhenti aliran pahalanya berhenti apa amalan dapat dilakukan,Neutral
130,mnrtku aneh nder normal,Neutral
131,putus sama tahun lalu saja dikasih mimpiin padahal memikirkan saja loh kan kangen jadinya apa kabar iya sekarang pernah mimpi saya juga iya,Neutral
132,cuti habis semua back to normal,Neutral
133,only start filming don t know when airing biasa la kan cdrama kalau tak bertahun tak sah,Neutral
134,baru mengirim foto manyar gresik,Neutral
135,sabtu jadwal bersih bersih kamar kost berantakannya luar biasa klora sini sudah memasuki usia kepala tiga tahun,Neutral
136,x kan nk tgk please a lai selai pn kena bayar apa,Neutral
137,pagi hari pijat incall outcall area jakarta pijat reflexi pijat massage pijat traditional jam s d jam pesan link,Neutral
138,pura bukan army pura biasa sampai rumah baru teriak lalu nangis lalu meletoy i vote as the at the,Neutral
139,guuys disini biasa suka edit video buat cowok kipop buatnya pakai aplikasi apa yaah huhu makasih,Neutral
140,sejak kapan masyarakat mau dilibatkan sesama anggota dpr dan tidak mau dilibatkan beliau hanya masyarakat apa pikun mic dimatikan orang tidak terlibat,Neutral
141,woohh tuh caakk labu siam kan ukuran normal yang buat lalapan biasanya kamu,Neutral
142,baru mengirim foto depok,Neutral
143,wow urus moral mu eh tagihan mu,Neutral
144,bro its real,Neutral
145,kalau mau saling mengerti lakukan setelah membuat lawan mengalami yang samaa yahiko chapter,Neutral
146,air aki terlihat berada dawah batas normal segeralah beli air aki di bengkel bengkel terdekat,Neutral
147,cukup unsurnya semoga rakyat mengambil pelajaran kedepannya lebih cerdas memilih wakila nya menjunjung tinggi etika moral amin,Neutral
148,ada seseorang meledekmu jelek santai bilang padanya kalau kamu bukan cermin,Neutral
149,nah baru imbang masa istri yang dituntut,Neutral
150,akuu biasa ngelaprak kak sinii,Neutral
151,santai juga gagal tadi lur abis kita makan biar badmood,Neutral
152,santai din,Neutral
153,mungkin orang dewasa biasa menahan perihnya kehidupan makanya samponya dibikin perih,Neutral
154,hahaa betul biasa memang lagu final year,Neutral
155,kamu mengalami cinta sepihak yaudaah santai ajaa kamu bernilai tinggi mata orang tepat cheers,Neutral
156,aneh kok harus aneh apa-apa kalau sesekali mau coba nderr nebeng sama teman kalau pada mau nonton kalau iya tidak apa-apa chill santai wilayah tidak bioskop isokay kincana kok,Neutral
157,woi tidak baik gemes,Neutral
158,morgana kan ganyu dps jelas normal att burst,Neutral
159,kan jadi seenaknya memperlakukan kita berhentilah berpura pura olah semua nya baik baik hatimu bukan baja,Neutral
160,pagi mulai senggol sana sini man,Neutral
161,biasa panggil ibu sekarang ibu boss,Neutral
162,ketiduran nunggu kabar sayang,Neutral
163,biasa mau nya manis sebelumnya dukung rakyat kecapai maunya iya gimana menjelang tahun pemilihan iya manis ke pilih iya gimana lagi,Neutral
164,open guyss biasa yah kalau mau instan malam bisanya tertawa,Neutral
165,ist ada kasi kabar anak anak,Neutral
166,suami menuntut istri taat suami menuntut agama mewajibkan suami mengejar nafsunya sendiri jelas salah namanya hawa nafsu iya dikendalikan jika boleh berpoligami perzinahan ditanggung istri zinah iya zinah dosa suami,Neutral
167,sekarang normal deng,Neutral
168,menggeleng heran mendengar candaan gori masih tetap menanggapi santai yakin lah yakin kalau puas saya jajanin es krim sehari satu selama sehari joshua membersihkan dada gori teliti,Neutral
169,biasa ajaa yaa cowok nya kurang oke,Neutral
170,iya hehe jatuhnya kadang malah ngeganggu waktu tidurku sendiri sedikit bangun terus tidur iyaya itu benar sih kalau bangun bakal dibangunin aampe bangun oh baiklah untung,Neutral
171,makanya fanatik sama politisi bro hingga menilai obyektif dikira benci rakyat biasa bro jadi politisi pendukung politisi yang hanya mentingin pribadi golongannya,Neutral
172,jangankan sekadar bicara menatapmu saya tak kuasa,Neutral
173,apa kabar kawan,Neutral
174,negara selalu hadir nelayan padahal sekadar bertahan hidup sudah lebih cukup,Neutral
175,biasa perangai saya masak,Neutral
176,dinilai menyindir video tiktok maia estianty panen kritik,Neutral
177,apa-apa ko nder santai,Neutral
178,kek biasa sih tertawa habbits,Neutral
179,tentu,Neutral
180,sabtu rasanya memang kaya weekend tidak santai yaa ingat tagihan menanti,Neutral
181,menjadikan seseorang rumah kedua rumah pertamamu gagal menjadi tempat ternyaman untukmu pulang kesalahan terbesar seseorang kamu jadikan rumah keduamu bisa pergi kapan tanpa kamu tahu,Neutral
182,singkat cerita sampailah jalan grabag tiba tiba jalan dialihkan sekitar pemukiman warga di situ masih biasa tidak berpikir aneh aneh juga pemukiman warga ramai banyak rumah rumah,Neutral
183,nya akun juga dibokir,Neutral
184,kok ono se,Neutral
185,kalah menang sebuah match yang biasa emyu lawak bangeet bisanya kalah sama klub beda divisi adu pinalti full skuad,Neutral
186,haii hai ikuti po md photopack mirfa ayo dom tangerang bookslot k dicicil santai qris or co syopipaylater,Neutral
187,senang sih punya teman mirip gini lucu suka sekali mengerjakan orang tiba tiba ada kabar tiba tiba ilang goa terima kasih orang baik,Neutral
188,contohilah kkss kerukunan keluarga sulawesi selatan organisasi besar tidak mencari musuh dimanapun berada selalu menyelesaikan masalah musyawarah luar biasa,Neutral
189,akwjajshwhw baru mau bilang emak eren normal eh baru ingat beliau di perut istri pertama,Neutral
190,semoga jimin cepat pemulihannya biar segara beraktivitas biasa,Neutral
191,pacar antigen di dewasa gejalanya mild biasanya mirip flue biasa,Neutral
192,selamat pagi first people mhn maaf atas ketidaknyamanannya cek modem area normal iya mohon bypass menggunakan kabel lan modem device kemudian akses situs detik dot com youtube dot com bila mohon konfirmasi iya tks sita,Neutral
193,ayo cepat mbuh biar biasa jajanan c,Neutral
194,simpan sebelumnya pensiun anggota dpr ditindaklanjuti,Neutral
195,sebelumnya ustadz ustadzah kata serapan bahasa arab aslinya berarti guru sebutan khusus guru ngaji baca tulis qur an juga ilmu agama sebutan poluler kalangan pesantren,Neutral
196,apple dikabarkan luncurkan iphone ipad murah meriah bulan depan,Neutral
197,tempat biasa,Neutral
198,yang salah formal informal sendiri mengalami kali musibah dibantu ee malah dijarah sbgn diberikn biasa ini rampok vulgar pakai mikir diatas kesedihan orang,Neutral
199,biasa kan,Neutral
200,kalau mau menjadikan ayat tersebut hujjah coba dipahami konteksnya jangan text nya diayat tersebut syarat ketentuannya loh enggk asal saja monggo dijadikan referensi,Neutral
201,kerja biasa gabriela ngapain,Neutral
202,baru bangun langsung sapa kabar baik alhamdulillah i vote for for at the,Neutral
203,biasa selalu coba tontonan yt viewnya banyak tahu tahunya kali tidak mempan,Neutral
204,susu biasa ku minum dymatize mau,Neutral
205,diam baik bitcoin naik ngko ujug ujug ono le menanyakan kabar,Neutral
206,sangat mengejutkan iya bun merangkap jadi apa,Neutral
207,coba masuk sini mi kalau jadi anime kabar gweh,Neutral
208,korintus tb pikiran telah menjadi tumpul sampai hari selubung masih tetap menyelubungi jika membaca perjanjian lama tanpa disingkapkan hanya kristus yang menyingkapkannya,Neutral
209,ayo lorr simak apa sih pernyataan presiden terkait perkembangan covid,Neutral
210,so biasa battery memang kena charge kalau tak turun sepantas kilat hairan pulak tapi kalau time battery anak turun lambat pulak ye,Neutral
211,tuli tulis nama rakyat kurang lebih juta,Neutral
212,hii gimana kabar,Neutral
213,kak kalau buat twitter biasa gini tetap andro kan iya soalnya punyaku,Neutral
214,dokter ratih ayu wulandari irene mongkar gobind vashdev coach yusa aziz hingga najeela shihab merupakan ahli ranahnya turut menitipkan pesan penting melalui buku belahan jantungku menjadi catatan pembuka andien perjalanannya menemukan diri,Neutral
215,menurutku ingin ornang indog ke budaya leluhur kitaa saja budaya pra islam zaman kerajaan kesultanan islam termasuk budaya leluhur itu fakta sejarah,Neutral
216,apa coba gambling biasa iya ngetest nafas tertawa,Neutral
217,si bisa santai kalau pakai blush ampe jengkelan,Neutral
218,jangan terlalu banyak memikirkan pikirkan apa kepentingan mu apa menjadi tujuanmu sisanya lupakan,Neutral
219,sihh biasa,Neutral
220,saat skripsian teman teman seminar proposal saya stuck sama dospem kabar minggu alhamdulillah lulus suka tidak sangka,Neutral
221,begadang saja kalau artinya hyung,Neutral
222,a tidak menerima saja orang telah mempermainkan kepercayaann terhadapnyaa,Neutral
223,tetap jaga komunikasi sama teman sudah nikah waktu sekali ngechat akunya tanya kabar eh malah tanya kapan nikah pertanyaan hanya kujawab senyum berujung tidak kubalas,Neutral
224,biasa iya pagi mules,Neutral
225,baikk haurraa dirimu pa kabar ayank,Neutral
226,mungkin dimana tidak setuju kedengaran bersuara keras semua fraksi dpr pks kan menolak,Neutral
227,ft galak sangat diteriakin sama kating sini saking baiknya mulai apa ditanya sebelumnya apa kabar semalam tidur jam berapa sama katingnya,Neutral
228,jadi diri sendiri tidak mesti malu dijudge hal biasa hidup harusnya jadi milikmu bukan milik omongan orang salshaabilaa,Neutral
229,realita mengagakan tydack anak moeda turuti,Neutral
230,agus andrianto menduga berdirinya kerangkeng seluas x meter selama tahun dibekingi organisasi kemasyarakatan pemuda okp sebut pp,Neutral
231,kala tak untuk tak baik baik,Neutral
232,percaya supaya bohong senang,Neutral
233,obat stroke paling ampuh bio nerve pesan saya,Neutral
234,tengah ruang hening suara mungkin terlalu bising telingamu terlalu suka sunyi iya di kepalamu tetap berisik,Neutral
235,kamu bisa memaksakan bukan mu ikuti alurnya berusaha lah jadi yang terbaik versi kamu selebihnya pasrahkan nya,Neutral
236,obat stroke lumpuh sebelah kanan bio nerve pesan saya,Neutral
237,masalah hadapi memberikan efek pengalaman terus menerus penting bagaimana menghadapinya tetap menggunakan pikiran jernih tidak emosional emosional marah dendam akan merusak kita saja,Neutral
238,mama selalu pesan pergi hospital buat check up tak sayang mama mama terlalu sayanglah akak anak sentiasa dengan orang orang akak sayang duduk hospital susahkan orang insyaa allah akak kuat doakan yaa doa mama yang lebih hebat,Neutral
239,join direct pakai nama sendiri buat buka sharing wh group line ready slot free foto arrived unbox promo wh direct cukup bayar k buat bulan feb april murah worth it sekali guys benar benefitnya,Neutral
240,monggo butuh tempat santai bersama kawan saudara warung makan buka mulai pukul lhoo jangan kehabisan masakan ayamnya lezat laburi sambal bawang lezaat,Neutral
241,taman nasional wasur kanguru kecil walabi biasa disebut saham relatif mudah ditemui perburuan tradisional sejalan prinsip keberlanjutan diizinkan perburuan merusak jadi tantangan,Neutral
242,tanya lewat yang biasa kaga ngapasie,Neutral
243,kenal anak mipa tidak kedengaran kabar nya,Neutral
244,ahaha benar sekali harus sering bermain anak house saya seringnya bertemu gryffindor karena keluargaku yang anak gryffindor jawabnya michaelis baru menyadari tidak punya teman anak ravenclaw kalau maukah kamu menjadi temanku,Neutral
245,cari trophy males battle bot menyediakan fitur auto search th diluar th snipping mudah memenangkan banyak trophy dengan pasukan sedikit minat cek bio pesan sekarang,Neutral
246,ibu biologi ayah pertanian untung nama anaknya normal normal,Neutral
247,bukankah kamu lelah ada di pikiranmu jangan memaksakan dirimu terlalu keras semua baik baik,Neutral
248,apa kabar kalian hari sabtu baik kan iya,Neutral
249,ku terbangun di sepi pikiran ramai mengutuki diri tak kembali tuk mengubah alur kisah mereka meminta tawaternyata rela tak semudah kata tak perlu khawatir ku terluka terbiasa tuk pura pura tertawa bolehkah s kali ku menangis,Neutral
250,perahu sedia payung sudah tersedia menunggu hujan langit apa macam mak aji sayang oii,Neutral
251,semakin besar masalahnya semakin akan berpura dia baik sajaa my ghost,Neutral
252,temenku kalau ngechat pakai assalamu alaikum rasanya gimana maksudnya tidak nge judge terlalu baik apa merasa tidak sedekat padahal saya ingin chat biasa seperti panggil nama orang sama circleny iya biasa kok sma saya pakai salam,Neutral
253,uwaha pagi menepuk kepalanya sekilas hmm rasa biasa namun terlalu lelah merapihkan tasku kemarin tertidur stasiun untung saya dibangunkan kamu sendiri ada kendala,Neutral
254,teman rl kalau lihat anggap tidak lihat iya,Neutral
255,petai cina ampuh turunkan gula darah nah kali mintani mau bertanya siapa suka makan petai cina ayo ngacung mintani suka sekali yang satu apa sih manfaatnya petai cina ayo sama simak infografis berikut,Neutral
256,kalau biasa pakai automatic pengharumnya nder karena rusak ganti spray gini harum paling suka rose garden pojok kiri semprotinnya diujung sudut kamar kalau misalnya makanan makanannya ditutupin nder biar kena,Neutral
257,yang mau pesan kerudung silahkan,Neutral
258,min usah bolak balik tanya lampu modem masalah jaringan modem normal mati sejak dini hari tadi,Neutral
259,iya kalau santai,Neutral
260,keamanan data dimaksud mohon kesediaan bapak mengirimkan pesan email mandiricare co id menghubungi layanan mandiri call dilakukan pengecekan lebih lanjut semoga sehat selalu tks fatma,Neutral
261,diboyong engkau pepatah wahai datanglah kemari tumpahkan pesan bergerigi serakkan pesan mulai berotasi pastikan pedoman sampai tepat tujuan,Neutral
262,biasa rotii apa yang ringan,Neutral
263,saja ada,Neutral
264,saja,Neutral
265,vkf biasa dong kak te natap nya,Neutral
266,tertawa bonek hanya mendukung persebayang persik persela psis persis pss psid jombang awokawok bukan basis iya tapi sengkuni mengadu domba contoh arema indonesia vs psid jombang segala main siapa segala teko siapa pss vs arema endi onok lambang pss ndas bonek,Neutral
267,kabar kamulah sslalu ku tunggu,Neutral
268,prioritas utama sekarang kazuha sih mana tidak kabar,Neutral
269,baru mengirim foto kecamatan sanden,Neutral
270,iya allah beri kabar baik untukku hari,Neutral
271,biasa keluar bilik dentist check sebelumnya kalau tlebih suruh dentist potong cutter,Neutral
272,halo apa kabar samporasun kepriye kabare om suastiastu nara gerotelo habar thats all from indonesia,Neutral
273,si bebe apa kabar iya,Neutral
274,satu lain rasa perlu dibahas sebuah agenda politik dihadirkan plot film begitu kentara terlihat jelas awal hingga akhir film kami pribadi sih terlalu ambil pusing lebih memilih menikmati filmnya,Neutral
275,chris wilder malam adalah soal malam luar biasa klub sepakbola dan penggemar seluruh dunia menikmati piala fa ada perasaan lebih baik memenangi laga piala fa old trafford jumat malam ini,Neutral
276,ingat lah rekan partner shohib ku this is sabtu santai enjoy,Neutral
277,fokus apa bisa kendalikan,Neutral
278,iya mereka adalah kadal gurun hidupnya brutal rusuh dipermukaan kejauhan begitu dideketin ditengok langsung lari tersilit cari lobang semesta mau kiamat dilakukan terus menerus selama hidupnya,Neutral
279,baru diresmikan presiden jokowi waduk pidekso giriwoyo wonogiri menelan korban seorang bocah tenggelam terperosok dalam bekas galian sedalam hampir meter,Neutral
280,pejabat buat hoax dipenjara hukum jangan belaku untuk rakyat kecil,Neutral
281,jadi fans mu biasa kalah mental health nya kebal,Neutral
282,heran sekali langganan luka kena pager kost kalau mau mudik hari hari biasa alhamdulillahnya gaperna padahal,Neutral
283,in family your trust terlihat harmonis tentu sebuah keluarga baik baik meninggalnya sang kakek membuat sebuah keluarga besar hancur hingga membuat pembunuhan berantai lantas siapa dalang perpecahan,Neutral
284,iya benar bingits siang ku pesan,Neutral
285,anak penguasa yachh siapa berani ngelawan kpk melempem polri kejaksaan dicopot kalau ngurusi orang,Neutral
286,kuncinya satu perjuangan atas nama bangsa negara atas nama pemimpin partai tetap fokus perjuangan menjaga nkri usah masuk kekonflik kepentingan kuncinya tenang saja orang mau pak jokowi turun ganti nya ngeri sedap,Neutral
287,jangan sekali sekali memasuki wilayah apapun sembarang termasuk belum tahu sekalipun kita tahu apa didalamnya,Neutral
288,cermin telah lama pecah jangan bilang serambi mekah sebut aceh,Neutral
289,budi pekerti islam sangat mendasar meletakkan toleransi hidup bersosial bisa allah menciptakan manusia satu umat namun allah berkehendak jangan saling menggangu menghina ikuti campur urusan dapur agama,Neutral
290,lupakan kawan on time bukan budaya saya yo kalau ontime hati gelisah waktu ontime sepi,Neutral
291,simpang tengkawang antrian kendaran normal dikeempat kaki simpang situasi arus lalulintas lancar,Neutral
292,kangeen mawar jugaa kamu apa kabar,Neutral
293,apaan weekend mah kaya hari biasa banyak tugas,Neutral
294,sama biasa jalan dipaling pinggir bilang sorry,Neutral
295,ini multi talenan ketutup sama rasa malas jadi nya terlihat bakatku,Neutral
296,kasi sangsi sosial,Neutral
297,biasa terus dikasih bonus alpha gara ngehold biasa,Neutral
298,baru mengirim foto kantor badan pertanahan parepare,Neutral
299,sebenarnya ikn hanya trik agr kasus korup kasus lainnya tertutupi emgnya mungkin pembangunan ikn selesai tahun situ sudah terbaca bohongnya,Neutral
300,coba tebak siapa baru tersingkir fa cup inisial emyu,Neutral
