content,label
RAME YANG NONTON 212 THE POWER OF LOVE..\nkirain sepi karna ada kasus d mako brimob.\n@detikcom @VIVAcoid @na_dirs…,trust
Kapolri Akui Mako Brimob Tak Layak Jadi Rutan Teroris,trust
SUDAH DI AKUI KAPOLRI MAKO BRIMOB TIDAK LAYAK UNTUK NAPI TERORIS.\n@NetizenTofa @TsamaraDKI @Fahrihamzah…,anger
@emerson_yuntho @PBB2019 @Yusrilihza_Mhd @hmskaban @KPK_RI Inti butuh sumbngan...lbh baik bung @emerson_yuntho  juj…,joy
@RahmatR35554528 @mbahenanang @m_mirah @Yusrilihza_Mhd @laodeida @SaidDidu Hoax lah.bikin org jd bodoh.mrk digajii…,anger
@TRANS7 @Yusrilihza_Mhd Kadang politisi itu untuk kepentingan partai apapun di lakukan mau berbasis agama atau nasionalis juga sama gitu.,fear
"Kok sepi berita kemenangan Mahathir ya...cc Prof @na_dirs  ,Kang @maman1965 ,Prof @Yusrilihza_Mhd",sadness
"@JKFC23456789 @TheArieAir @Yusrilihza_Mhd @gm_gm Mungkin ini urusan fee, jadi apapun bisa digadai demi perut dan lo…",trust
"Bro, coba simak &amp; renungkan apa yg menjadi keprihatinan Mahathir Muhammad ttg kondisi yg mirip dgn apa yg terjadi d…",trust
"Tidak jauh berbeda apa yg dialami ibu pertiwi hari ini, jangan sampai terlambat saudaraku #2019gantipresiden…",anticipation
Parpol antikorupsi itu salah satunya  @PBB2019 yg dipimpin oleh @Yusrilihza_Mhd dan @hmskaban Tidak pernah bela kor…,trust
@JKFC23456789 @Yusrilihza_Mhd @gm_gm @TheArieAir Pendukung HTI slmat nyungsep 2019,joy
@Yusrilihza_Mhd Turut berduka cita dan teriring do'a semoga almarhum segala khilaf dan dosanya diampuni dan seluruh…,sadness
"@ulinyusron Ini hoax apa asli, @DivHumas_Polri tolong klarifikasinya.\nTelegraph gini yg katanya rahasia bisa bereda…",anticipation
@sahabatsudirman @DirmanIdaJateng @Gerindra @PKSejahtera @DPP_PKB @SudirmanInfo @GerilyawanSS maju terus para penge…,joy
@PKSejahtera Simpatisan partaimu yang membuat teroris tumbuh menjamur,disgust
"@SiBonekaAyu @MurtadhaOne @hnurwahid @PKSejahtera Wahai teroris, ke mana kalian saat terminologi agama, seperti Liq…",anger
@Al_Fatih1453__ @msi_sohibuliman @PKSejahtera @hnurwahid Ini FA orang yg ngibul bacot...,anger
@PKSejahtera Pks sudah habis,trust
"@RestyCayah @Ichwanzein @PKSejahtera @msi_sohibuliman @hnurwahid fitnah lebih keji drpd pembunuhan, khusus faizal hukum pancung yg pantas",disgust
@4Y4NKZ @P3nj3l4j4h @TirtoID Woooooow produksi @PKSejahtera keren kereeeeeeen yak\n\n#KamiBersamaPolri\n#BersatuMelawanTeroris,joy
Kami sudah sadar bahkan sejak anasir radikal wahhabi membentuk @PKSejahtera tapi kami meminta dicatat karena partai…,trust
@MohammadTaofiQy @mikhaella_tasya @faizalassegaf @PKSejahtera @jokowi yang mau bantu banding HTI .. sampe lupa kerjaan,joy
@MohammadTaofiQy @faizalassegaf @PKSejahtera @jokowi Aq Arek Suroboyo..lahirku di Suroboyo..aq g pengen Suroboyo yg damai di acak2 teroris..,anger
@sahabatsudirman @DirmanIdaJateng @Gerindra @PKSejahtera @DPP_PKB @SudirmanInfo @GerilyawanSS ayo tata negri bareng pak ss @humasjateng,trust
Haddeh Waspada Pks !! Terduga Pengikut Jaringan ISIS di Juanda adalah Kader PKS lewat…,fear
AKU KUDU PIYE JAL @tifsembiring @PKSejahtera .MEMANG KALIAN INI BIADAB BANGSAT!!!!,anger
@ArdianzidanYuma @DPR_RI @jokowi @Fahrihamzah @fadlizon @PKSejahtera @Gerindra Styap hari kerjanya udah nyinyir knp…,disgust
@mikhaella_tasya @faizalassegaf @PKSejahtera @jokowi Sama aq juga makanya aq sudahin hiatus sosmed...,trust
@roiz_dudunk @mikhaella_tasya @faizalassegaf @PKSejahtera @jokowi Klo aq baca di forum seh ada yg bilang krena ga a…,trust
"Cabut Laporan, Fahri Hamzah Pilih Damai dengan Sohibul Iman",joy
Alhamdulillah...segala puji bagi Allah SWT yg telah melembutkan hati para pemimpin kebaikan...@Fahrihamzah…,joy
"Milad ke-20, PKS Undang Empat Puluh Orang Penyandang Disabilitas #Milad20TahunPKS",joy
"Kadernya saja sudah ada yg terlibat kasus terorisme setahun lalu, pantas @PKSejahtera menolak revisi UU Antiteroris…",anger
@MohammadTaofiQy @faizalassegaf @PKSejahtera Kita hrs dorong pak @jokowi utk membuat Perppu kak..g ada pilihan lagi..,joy
@faizalassegaf @jokowi @sandiuno @MardaniAliSera #Syi*h tukang fitnah\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah…,disgust
@faizalassegaf @LawanPoLitikJKW #Syi*h tukang fitnah...\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah @MardaniAliSera…,disgust
@faizalassegaf Mulut comberan ala #Syi*h\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah @MardaniAliSera @aheryawan…,disgust
"@faizalassegaf @NetizenTofa @MardaniAliSera @fadlizon #Syi*h doyan fitnah, ngibul, pecah persatuan\n\n#SaveNKRI…",anger
@PKSejahtera @hnurwahid @msi_sohibuliman Sebaiknya melalui fraksi atau komisi di DPR mintakan klarifikasi kepada ke…,trust
"JANGAN MAU DI ADU DOMBA !! Berfikirlah sedikit buat keselamatan NKRI dan kebaikan rakyat ,jangan saling serang hany…",anger
@Pambudi29258901 @PKSejahtera @msi_sohibuliman Itulah bedanya dg junjunganmu wakil rakyat rasa tengkulak #2019GantiPresiden,trust
"[NEWS] Temui Petani Garam, Presiden PKS Temukan Kebocoran Garam Impor \n\n\Kami meminta kepada pemerintah Jokowi agar…",anticipation
"[NEWS] Peduli Nasib Petani, PKS Beli Garam Satu Ton \n\n\Kami membeli garam dari petani dengan harga yang wajar dan p…",joy
@PKSejahtera @hnurwahid @msi_sohibuliman Saya beli 30ton garam petani ngak ada di pamerkan di medos pak ustad…,trust
"@faizalassegaf @sandiuno @MardaniAliSera #Syi*h emg parah bgt mulutnya, \n\n#2019GantiPresiden\n@anismatta…",disgust
@EdoDonjuan @PKSejahtera @hnurwahid @msi_sohibuliman Anda semua keren baik yg 30 tne atau 1 tne sekalipun. Semua dlm kapasitasnya masing2,joy
"@faizalassegaf Hati2, #Syi*h berusaha fitnah koalisi oposisi\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah…",disgust
"@faizalassegaf Dasar #Syi*h ga tau malu, tukang fitnah\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah @MardaniAliSera…",anger
@IndoPluralitas @PKSejahtera @msi_sohibuliman @MardaniAliSera ini cobaan yah!!. ini cobaan yah !!!sebenarnya waktu…,anger
@IndoPluralitas @PKSejahtera @msi_sohibuliman @MardaniAliSera Bagi kader pks ini gelar uztaz itu utk dr kepala samp…,trust
"@IndoPluralitas @PKSejahtera @msi_sohibuliman @MardaniAliSera MULUT bicara SYARIAH, tapi OTAK mikirin SYAHWAT. VIRA…",disgust
@mkhumaini Kasian banget org ini.. @cakimiNOW saking inginnya dgn sebuah jabatan dia berani ngomong mendahului taqdir Alloh..,anger
"Dukung @jokowi, Cak Imin Pede Bakal Dilirik jadi Cawapres #CakIminTheNextWapres\n@cakimiNOW @Mafirion @nblh_ayu…",trust
"Dukung @jokowi, @cakimiNOW Pede Bakal Dilirik jadi Cawapres #CakIminTheNextWapres via @20detik",trust
"Dukung Jokowi, Cak Imin Pede Bakal Dilirik Jadi Cawapres. \n\nCc. @jokowi",trust
@PembawaCerita @wartapolitik @cakimiNOW Ulama hanya percaya kpd Allah kalo percaya sama yg lain namanya musyrik,trust
"Dukung Jokowi, @cakimiNOW Pede Bakal Dilirik jadi Cawapres #CakIminTheNextWapres @jokowi @PDI_Perjuangan @evndari…",trust
Muhaimin Iskandar Khawatir Jokowi Kalah di Pilpres 2019,fear
"Memang akan kalah, orang dungu yg masih mendukungnya...cc.  @cakimiNOW",anger
"Cak Imin: Nusakambangan Diserahkan ke NU, Teroris Jadi Kiai @cakimiNOW @nu_online @wiranto1947",trust
Perasaaun dulu benci banget sama 212.  Ini adalagi relawan nasional 212. \nAyo! Sadarkan masyarakat! tidak mungkin 2…,joy
"Gambaran pendukung Jokowi Ahok, menghalalkan segala cara. Mereka biang keributan di sini belakangan ini, mereka pro…",fear
Ikhtiar para relawanan @cakimiNOW,joy
"Kalo ga dapat cawapres, Cak Imin bikin poros ketiga dg PAN dan PKS saja mas @bambangelf. Usung Gatot - @cakimiNOW p…",trust
"@cakimiNOW: Nusakambangan Diserahkan ke @nahdlatululama, Teroris Jadi Kiai #CakIminUntukIndonesia",anticipation
@cakimiNOW Tangging amat cak gak sekalian pres aja biar kita makin ngakak gitu,joy
"Dukung Jokowi, Cak Imin Pede Bakal Dilirik jadi Cawapres via @20detik",trust
"Bukannya masih diperdebatkan soal masa jabatan ini?\n\nOk. Kalau pun gak bisa, barangkali @cakimiNOW bisa dipasangkan…",anticipation
"Dukung Jokowi utk Pilpres 2019, Ketum PKB Muhaimin Iskandar hakul yakin dirinya dilirik Jokowi menjadi cawapres…",trust
Selamat pak @KangFathanNow atas diraihnya apresiasi anugrah @jawapos  radar semarang dalam kategori \politicians co…,joy
berkah,joy
@PembawaCerita @cakimiNOW Sehati bangets,joy
@permanaikrima @rmolco @jokowi @cakimiNOW SAYA SANGAT YAKIN JOKOWI - CAKIMIN,trust
@detikcom @ZUL_Hasan Sudah cocoooook @jokowi @cakimiNOW pasangan terbaik untuk kemajuan bangsa,trust
@rotitawarmanis @jokowi @cakimiNOW Mau nyalon jadi wakil ketua osis akh,anticipation
"jangan buat malu Islam hanya karena ngotot mau dapat Jabatan, jadi Wapres apalagi Presiden nggak cukup modal Mantan…",anger
"Politik Bangsa Didominasi Orang Tua, Al-Ghazali: Dorong Anak Muda Jadi Wapres 2019 - @cakimiNOW #2019AMIgantiwapres",joy
@saididu Apa yg mau dibanggakan dr mahatir? Pemimpin otoriter. Sdh tua. Bukti tidak adanya generasi mumpuni di nege…,fear
@korantempo @tempodotco prediksi saya fatal akibatnya kalau Pak @jokowi berpasangan dgn @cakimiNOW di Pilpres 2019.,anticipation
"Cak Imin: Nusakambangan Diserahkan ke NU, Teroris Jadi Kiai",trust
"Jangan ke Nusakambangan, kirim dan sebar dulu ulama NU ke BUMN, intansi pemerintah, stasiun televisi dan masih bany…",anticipation
@fikrinathiq @jokowi @cakimiNOW Nnti saya jadi wakil lurah aja,joy
@ruston669 @fadlizon @Gerindra @prabowo @cakimiNOW Pasti bang Prabowo S sangat arif dan cerdas,trust
"Agen Piala Trophy Marmer Murah Siap Kirim Jakarta, Bandung, Tangerang, Surabaya",joy
Teror Bom Buat Laga Persebaya Surabaya Lawan Persib Bandung Terancam Diundur,fear
Klub Liga 1 Termasuk Persib Bandung Berbelasungkawa kepada ... - Tribun Jabar,sadness
"Bom Mapolrestabes Surabaya 4 Orang Tewas, Bandung Tetapkan Siaga Satu -",fear
"RIFAN FINANCINDO BANDUNG | Rupiah Menguat, Aksi Bom Tak Ganggu Ekonomi |",joy
"SURABAYA DIGUNCANG TEROR BOM, LAGA PERSEBAYA MELAWAN PERSIB TERANCAM DITUNDA !\n\n#dy33\n\nLaga Persebaya kontra Persib…",fear
"@elLesmana Selamat siang, pengajuan klaim BPJS Ketenagakerjaan silahkan membuat surat perintah bayar dari kantor BP…",joy
"3 hotel di bandung saidah guest house, menawarkan harga terjangkau yang di sukai turis dengan budget terbatas.",joy
Karunya :(,sadness
Teror Bom Buat Laga Persebaya Surabaya Lawan Persib Bandung ... -,fear
"Gamis rp.155rb utk usia 5-7thn tersedia di bandung baby shop maskarebet,",joy
Pjs Wali Kota Bandung Nyatakan Seluruh Tempat Hiburan Malam di Kota Bandung Sudah Tutup,trust
Kabar Larangan Dekati Pasar Baru hingga BIP di Bandung Hoaks,anticipation
Marhaban ya Ramadan semoga selalu dimuliakan dan mendapatkan rahmatNYA dalam menjalani ibadah shaum bagi seluruh um…,joy
@kynosii Selamat Siang Sahabat Pos. Untuk kantorpos besar Bandung yang berada di Jl. Asia Afrika buka setiap Senin-…,joy
"Bebeksambalmerapi buka Dari 15.00 wib s/d 23.00 wib, belakang FLAT L Sarijadi-Bandung. #infobdg #infokuliner @infokulinerbdg",joy
"@KompasKlasika Ketika memutuskan untuk menjadi seorang guru, saya pernah menganggap cukup mengajar di kelas. Nyatan…",trust
IN SGD Bandung Tandatangani MOU Bersama Jinan University Lebanon,joy
Pemkot Bandung Gelar Operasi Praja Wibawa Jaga Ketertiban Saat Ramadan -,anticipation
Inilah program yg akan mudah dilaksanakan karena terukur untuk Jawa Timur makmur...\n#SedulurNgaji \n#GustiKediri…,joy
@JOINKalsel @cakimiNOW Sluu dlm Kasih Sayang antar Sesama. C1NTA.,joy
@Ibnasanmail @RamliRizal @cakimiNOW @jokowi @MRomahurmuziy Jokowi-Cak Imin vs Prabowo-@RamliRizal mantep juga ini..,joy
ck imin ...semoga diridloi ilahi robbie menju JoIn..\n#SedulurNgaji \n@cakimiNOW \n@GusIpul_ID \n@halimiskandarnu,trust
semoga barokah... #SedulurNgajiJember\n@cakimiNOW\n@GusIpul_ID\n@GunturPuti\n@halimiskandarnu\n@HadiNgusman…,joy
"Ngaji bareng, bareng bareng ngaji kanggo jawa timur. ,kabeh sedulur kabeh makmur. \n#SedulurNgaji \n#GustiKediri…",joy
@Umar_Hasibuan_ @MRomahurmuziy @cakimiNOW Ketum partai yg satu ini manusai munafik dan penjilat mkanya dia busa jd…,disgust
"Dari Medsos pun tahu, bahwa yg berpengalaman yg diidolakan...\n#SedulurNgaji \n#GustiKediri\n@cakimiNOW…",joy
semoga barokah... #SedulurNgajiJember\n@cakimiNOW\n@GusIpul_ID\n@GunturPuti\n@halimiskandarnu\n@HadiNgusman…,joy
Barsama para Kyai &amp; Masyayikh... jember #SedulurNgaji \n@cakimiNOW\n@GusIpul_ID\n@GunturPuti\n@halimiskandarnu…,joy
Semoga alloh mengijabah doa menjadi pemimpin dan mampu melaksanakan program2 unggulan\n\n#SedulurNgaji \n#GustiKediri…,trust
"Para Ulama mendoakan, Semoga Gus Ipul-mbak Puti berhasil memimpin Jawa Timur\n#SedulurNgaji\n#SedulurNgajiKabLumajang…",joy
"Mandat dukungan cawapres 2019 untuk Cak Imin, tidak bisa dibendung lagi, di Lombok  NTB  semua elemen masyarakat me…",joy
semoga barokah... #SedulurNgajiJember\n@cakimiNOW\n@GusIpul_ID\n@GunturPuti\n@halimiskandarnu\n@HadiNgusman…,joy
"Para Ulama mendoakan, Semoga Gus Ipul-mbak Puti berhasil memimpin Jawa Timur\n#SedulurNgaji\n#SedulurNgajiKabLumajang\n@cakimiNOW\n@Gusipul_ID",trust
Sedulur ngaji gawe noto ati\nKabeh makmur pilih Gus Ipul-Mbak Puti\n\n#SedulurNgaji\n\n@cakimiNOW\n@GusIpul_ID…,joy
"@detikcom PKB nya Gus Dur iya, kalau PKB anda @cakimiNOW tidak!",trust
"Gus Ipul sangat berpengalaman memimpin di Jatim, semoga menang menjadi Gubernur Jatim\n\n#SedulurNgaji \n \n@cakimiNOW…",trust
"Gus Ipul sangat berpengalaman memimpin di Jatim, semoga menang menjadi Gubernur Jatim\n\n#SedulurNgaji \n \n@cakimiNOW…",trust
"Berdoa dan berdzikir.Lantas berpikir, \Alhamdulillah kami pas dan yakin dengan pilihan kami  @GusIpul_ID.\ akan mam…",joy
"@bambangelf Kayanya dia bukan orang NU, karena tdk paham... Dan blm bs memahami \Gitu Aja Kok Repot\nya Gus Dur...…",anticipation
"Gus Ipul sangat berpengalaman memimpin di Jatim, semoga menang menjadi Gubernur Jatim\n\n#SedulurNgaji \n \n@cakimiNOW…",trust
4. Aksi teroris kemarin pun tak ada hubungannya dg UU anto teroris. Tanya aparat yg tanggung jawab knp bisa kebobol…,fear
Relawan Join Juga Kutuk Aksi Bom Bunuh Diri @cakimiNOW,disgust
Manortor setelah pemberian marga Harahap. @cakiminow sudah jadi warga Mandailing. Selamat ma atas penambalan marga…,joy
Dimana bumi dipijak disitu langit dijunjung.. begitulah politik santun dan berakhlaqul karimah yg dipraktekkan…,joy
@UmarMasdar @hanifdhakiri @cakimiNOW @ulil @fadjroeL @HidayahIslam1 penganut teroris dan radikalis bkn dari islam y…,trust
WORO-WORO \nmoggo berduyun-duyun tepatnya tngl 15 mei 2018 ada: *.PARADE PATROL C1NTA\n*.PARADE BECAK C1NTA\nyang akan…,joy
"Di Jombang bareng @wali_band_official sholawatan, nyanyi &amp; doa bareng-bareng demi perdamaian &amp; kemakmuran Jawa Timu…",joy
Zulkifli Hasan Berharap @cakimiNOW Jadi Cawapres @jokowi \n\n#CakIminTheNextWapres\n\n@DPP_PKB @Kadir_Karding…,trust
Lawan Radikalisme &amp; Terorisme...@cakimiNOW @Adung65A @GPAnsor_Satu ...@nu_online,joy
@cakimiNOW Kami Tidak Takut. Bersama Lawan Terorisme,joy
"Apapun alasannya, terorisme tidak dibenarkan dlm agama apapun..",trust
"Luar biasa. Islam Rahmatan Lil Alamin. Sikap tegas Kyai muda, KH. Jakfar Sodiq Suhud, Pengasuh Pesantren AL Khoirot…",trust
Rapat Koordinasi Nasional 2018 \Peningkatan Kapasitas Pemerintahan desa dan penguatan Pat karya tunai dalam upaya p…,anticipation
"@Ubaidullah_Sdq @nujateng @cakimiNOW Ide mulia, semoga terlaksana.\nTapi perlu juga diantisipasi supaya tidak timbul…",anticipation
@UmarMasdar @jokowi @gusmusgusmu @cakimiNOW @BuyaSyafii @na_dirs @GPAnsor_Satu @sahaL_AS Itu semua korban sistem yg jauh dari aturanNya,trust
@Jkw_CakImin @cakimiNOW Lanjutken,joy
Manortor setelah pemberian marga Harahap. @cakiminow sudah jadi warga Mandailing. Selamat ma atas penambalan marga…,joy
Campus-campus harus di sterilkan dari organisasi-organisasi paham radikal termasuk dosennya !!! Harus di bina. Kata…,trust
Zulkifli Hasan Berharap @cakimiNOW Jadi Cawapres @jokowi \n\n#CakIminTheNextWapres\n\n@DPP_PKB @Kadir_Karding…,trust
Ustad Abdul Somad di Pesantren kami Daarul Muhsinin krmn. @bambangelf @adamWH68 @cakimiNOW @saididu,trust
Gagasan @cakimiNOW ini sangat bagus. Ini dapat mjd terobosan deradikalisasi yang lebih afektif. Presiden @jokowi da…,trust
"posko C1NTA di Rumah Ibu Rohani, Desa Sungai Pinang, Kecamatan Tambang, Kabupaten Kampar Riau.\n@jokowi\n@prabowo…",joy
@cakimiNOW @DPP_PKB @radarbangsaID \nSang Pemimpin terkejut dan turut berduka cita atas kejadian pengeboman di Surab…,sadness
@cakimiNOW : Islam dan NKRI Tak Bisa Dipisahkan -,trust
@cakimiNOW Mendapat Panggilan ‘Tuaka Imin’ Bermakna Orang yg Dituakan di Sulawesi Tengah Mendukung…,joy
Zulkifli Hasan Berharap @cakimiNOW Jadi Cawapres @jokowi \n\n#CakIminTheNextWapres\n\n@DPP_PKB @Kadir_Karding…,trust
@namareza @indraanarendra Haaa toh dialog2 jembut muncul,disgust
Senyuman itu ada bersama air mata. Gembira itu ada bersama Kedukaan.&amp; Karunia itu ada bersama Ujian.,trust
"Kita banyak meminta, tapi sering lupa menyiapkan kepantasan untuk menerima. – Mario Teguh",fear
"@pknstanid @YouTube Kak, mau nanya. Kan wktu pndaftaran spmb kita disuruh milih \bersedia di tempatkan di spesialis…",anticipation
Cara Jitu Genjot Wisatawan Lewat Wisata Halal Wisatawan luar negeri selalu antus,trust
"OctaYusril  Hai, Mas Yusril. Maaf atas ketidaknyamanannya. Mengenai keluhan jaringan, silakan infokan data yang dim…",sadness
"Terkait argumentasi hukum, saya menaruh hormat kepada Yusril Ihza Mahendara (Kuasa Hukum HTI) karena argumentasi2ny…",trust
"DIAM bukan berarti lemah. Kadang Kita tahu apa yang harus dikatakan, tapi Kita tidak ingin melukai perasaan seseorang",joy
Haruskah Semua Pasien Sakit Mag Lakukan Endoskopi? Sakit mag tidak boleh diremeh,anticipation
"OctaYusril Hai, Mas Yusril. Maaf atas ketidaknyamanan. Mengenai keluhan tidak bisa akses internet, silakan  restart…",sadness
Prof Yusril : Habib Rizieq akan kita bela dari semua kriminalisasi !\n\nTakbir,anticipation
"Jangan meremehkan sesuatu yg sederhana , karena terkadang itulah yang bisa membuatmu bahagia.",trust
Seseorang pasti pernah menangis dikala bahagia karena takut kebahagiaan itu akan sirna dengan cepatnya.,trust
Kantong kosong tak pernah menghambat kemajuan Anda. Yang bisa menghambat adalah kepala kosong dan hati kosong.,trust
"Yusril: Apa Kita Tidak Sadar, TKA China Yang Datang ke Indonesia itu Tentara.\n\n#2019GantiPresiden…",fear
"Tidak bertindak karena menunggu hilangnya rasa malas, adalah bentuk kemalasan yang lebih parah lagi. – Mario Teguh",trust
"OctaYusril  Hai, Mas Yusril. Maaf atas ketidaknyamanannya. Mengenai keluhan jaringan, silakan infokan data yang dim…",sadness
Saya menambahkan video ke playlist @YouTube mobil yusril mahendra ada yang menyiram dengan cet kuning,sadness
"Udah di SKAKMATTT oleh Pak Yusril Ihza Mahendra, Tapi si Najwa ini Emang tukang NGEYELL!",anger
"OctaYusril  Hai, Mas Yusril. Maaf atas ketidaknyamanannya. Mengenai keluhan jaringan, silakan infokan data yang dim…",sadness
"OctaYusril  Hai, Mas Yusril. Maaf atas ketidaknyamanannya. Mengenai keluhan jaringan, silakan infokan data yang dim…",sadness
Kesuksesan adalah seberapa tinggi Anda melambung setelah Anda menghantam dasar.,trust
@Telkomsel Internetnya susah amat sekarang\nPindah kartu kayaknya enak!!,anger
@n_izzah saya ucapkan selamat atas kemenangan Pakatan Rakyat dalam Pemilihan Umum Malaysia. Semoga Pak…,joy
Jangan pernah mengandalkan orang lain dalam menyelesaikan suatu masalah.,trust
EXO JJANG!!\n\n#MTVBRKPOPEXO #PremiosMTVMiaw @weareoneEXO,joy
Adakah orang yang derajatnya sama dengan orang yang tak melakukan apapun? Yakni orang beribadah tapi tidak ikhlas,trust
Yusril: Tenaga Kerja China Semuanya Tentara Atau Mantan Tentara,joy
Pahami sebelum berkomentar. Karena ucapanmu tak akan bernilai jika kamu berbicara hal yang tidak kamu pahami.,trust
@n_izzah selamat atas kemenangan Pakatan Harapan dalam Pemilihan Umum Malaysia. Semoga Pak @anwaribrahim segera beb…,joy
