username,full_text,topic,predicted_label,probability_emotion
okezonenews,Update Ranking FIFA Hari Ini Rabu 12 Juni 2024: Timnas Indonesia Melonjak Vietnam Melorot dan Thailand Tembus 99 Dunia! https://t.co/hyAWMR3NXb,2,Neutral,0.7340307831764221
BigBoss26858156,@caraguruh_ Itu baju kuning2 timnas Malaysia ya? Wkwowkwok,3,Neutral,0.24184542894363403
curatedbyaku,bisa ga timnas tanding tiap hari biar gw ada tontonan,3,Anger,0.3050934970378876
anton_chandz,Yg terhormat pak @erickthohir kalau nanti di match Timnas Indonesia mau ngundang artis after fulltime boleh saja pak. Tapi lagu wajib nyanyi itu #Indonesiapusaka bukan Rindu ini terasa indahnyaa yah pak,1,Joy,0.3396408259868622
rianandrianargo,@ainurohman Udah mah ga pake jersey timnas nyanyinya ganggu sok asik pula malah nambah 2 lagu untung tau diri pas disorakin turun ,6,Sad,0.29160451889038086
adityaditama,@ainurohman Disaat 2 federasi sibuk bikin sejarah Mas. Cuma satu positif satu negatif. Federasi yang mana you know lah Mas. Hehe. Salut utk Semua jajaran @PSSI staf kepelatihan timnas dan para pemain timnas. Tantangan lebih berat ada di depan semoga kita benar2 cetak sejarah lolos Pildun.,2,Joy,0.5143213272094727
ddnanul,Hujan dari sejak siang hari sampai malam mengiringi kemenangan timnas Indonesia lolos ke round 3 penyisihan piala dunia 2026. Tapi tolong @DKIJakarta dan Dinas terkait renovasi terminal tanjung priok yang kebanjiran #dishubdki #banjir https://t.co/gvT842xpkZ,3,Neutral,0.3553731441497803
dryuangga,@Indostransfer ngeri timnas kita levelnya udah gak sama brunei kamboja laos timor leste ,2,Anger,0.3398701548576355
a13Lee,di klub ada KDB di timnas ada Ode Haaland lagi nyaman-nyamannya,3,Joy,0.27680787444114685
kertowiyono6,@kbasatria @The_RedsIndo Timnas bukan buat ajang pemain down untuk balikin performa timnas adalah sekumpulan pemain dengan performa bagus dr pemain. Kalo down latihan lebih keras supaya dapet jam terbang di klub kalo gak dapet jam terbang maka lama lama insting bakal ilang. Udah otw liga 1 keknya,7,Anger,0.3541105091571808
Bisniscom,Timnas Qatar Kembali Jadi Sorotan Akibat Gol Kontroversial saat Atasi India 2-1 https://t.co/1SQfCG2Uup https://t.co/JGgW1UCzqL,1,Neutral,0.20842646062374115
Centurion_04,@ainurohman heran tp menang kok bisa2 ny muncul Uda ahh.. lnjut kawan.timnas 🇮🇩,3,Anger,0.31302410364151
ua_riyadin,Alhamdulillah Selamat yaa Timnas Putri Indonesia ... sukses selalu.....,3,Joy,0.845231831073761
yayangdzaa,jadi ketagihan belajar bahasa belanda grgr timnas wkwk,3,Neutral,0.30522656440734863
bemylight4u,Gini rasanya punya timnas keren ,4,Joy,0.6381431818008423
BrozovicAngga,@SiaranBolaLive Prediksi grup timnas : Korsel Qatar Uzbekistan Bahrain China Indonesia,2,Neutral,0.5452010035514832
tunjungutomo,@SyahrulMuchtarm @JakOnline Depan kompleks rumahku persis ada lap bola tempat latihan slh satu klub anggota @ligapersebaya sejak timnas mulai berprestasi pasca Covid dan beberp pemain Persebaya/EPA ada di dalamnya klo hari latihan jalan aksesnya sampe terhambat oleh kendaraan pengantar,3,Neutral,0.37546926736831665
d_edikusuma,@UpdateBolabola Lhaa Timnas bisa keoq;(,4,Joy,0.31004655361175537
chichiochi_,@Kayyisaaaaaa Keren timnas menyala,8,Joy,0.5356030464172363
bagoesz,@SiaranBolaLive Yang penting timnas Indonesia menang. GBK adalah stadion berkelas International. Rumput masih layak walaupun diguyur hujan. Bravo timnas Indonesia. Terimakasih Coach STY.,7,Joy,0.8586942553520203
sintachim,Kemarin full senyum karna timnas hari ini full senyum karna WWH pulang ️ @BTS #WelcomeBackJin,3,Joy,0.710242748260498
_oochaa,@Kayyisaaaaaa Semangat timnas menyala,3,Joy,0.7746356129646301
_kyivv,@Xenoverse98 @idextratime @bliblidotcom Indo Timnas Ranting kah,3,Joy,0.26756754517555237
musyiela,klo emg biasanya dipake persib doang trs skrg dibawa smpe timnas it's okay.. isn't it? we're famous meskipun mreka blg di eropa juga ada yg pake BUT kmren2 kan kita baru juara trs rame chant itu yaudahlaaahhh ??,3,Anger,0.30344489216804504
markushasto1,@choymarkochoy Jangan lupa terimakasih buat pak @erickthohir yg bisa melobi fifa buat merubah jadwal timnas yg harusnya main terakhir di Filipina bisa dirubah ke GBK sehingga supporter bisa merayakan kemenangan sekaligus merayakan masuk round 3,7,Neutral,0.28916171193122864
haridaresa,Feeling doa baik setelah hope timnas win pas bget seokjin finally kelar dan bts anivv ,3,Love,0.23844611644744873
LaMasia_idn,Puas banget pertama kali nyetadion nonton timnas di GBK lagi (terakhir 2018) langsung disuguhi permainan cantik dari para pemain terutama Thom Haye. Semoga soon bisa nonton Barça langsung https://t.co/CdXwtWHykb,4,Sad,0.3236365020275116
bapakbapakfunny,@YoungLoyalty88 @nocontextpersib Yaaa kalau ini aku gag sepakat. Kamu aja benderanya gag cuma Indonesia bang Orang mau suka atau tidak sama klub Liga Indonesia itu urusan masing masing. Ndukung timnas atau enggak juga urusan masing-masing. Gag Masuk KUHP kok,3,Joy,0.2582022249698639
artetawayindo,@nocontextpersib Otak primitip apa2 dimasalahin pdhl buat timnas,2,Anger,0.24459700286388397
IDNTimes,8 Potret Tissa Biani Perdana Nonton Timnas di Stadion Diajak Dul! https://t.co/wwE4aSI02A,3,Joy,0.2506290078163147
romdoniyyun,Seandainya timnas Indonesia satu grup dengan Palestina nanti tentu ini akan jadi momen yang krusial dan emosional.,3,Love,0.2637430429458618
JiwaMencari,@radiopinguinfm Hanya lolomgan Nabla Taqiyyah cocok dg suasana kebangkitan timnas yang mengalahkan piliphin semalam setelah beberapa hari sebelumnya kalah melawan irak,3,Joy,0.490681916475296
deskif150723,@00beinghuman Pemain yg dewasa sebelum umur nya Calon captain timnas di masa depan makasih untuk bang jay,3,Joy,0.7859740257263184
feri_ferdinan_,@txtdrremotetv @iridocyclitys Kemarin anaknya jadi pendamping timnas. Ini sudah pasti idenya si Anang.,3,Sad,0.34504878520965576
merieca,@Kayyisaaaaaa Banggaaaa love timnas Indonesia ,3,Joy,0.5403707027435303
JIHY0KU,Pantes tidurku nyenyak banget timnas putri juga menang ternyata,8,Joy,0.4133939743041992
ensikleopedia,TERUS NGAPAIN BOSSS SEMALEM UDAH DIPINDAH Genepin bayarin aja harusnya anjir RCTI tuuh... yang gatau sistem pemegang kontrak bingung ga tuh wkwk Cuma demi friendly timnas anjir itu Emtek...,3,Anger,0.29262587428092957
ardy2782,@Riweh_Banget Alhamdulillah Timnas Indonesia semakin membaik semoga bs Piala Dunia... Dikenal bagus di mata dunia Aamiin ,2,Joy,0.45963528752326965
edvan_p,@erickthohir Selamat buat kelolosan Timnas Indonesia Pak. Tolong selanjutnya kasih tau panitia FT itu kasih momen supporter timnas ga usah gimik gimik karaoke FOMO. Next PR besar benerin liga ya Pak. Yuk bisa yuk,8,Joy,0.7870308756828308
kristmasprince,Menyala timnas ku ,2,Love,0.23844611644744873
tjoeaoneyo,jangan lupa sarapan pake kemenangan timnas hari ini ya cewe nathan (aku only wle) ️‍,3,Joy,0.27967050671577454
dolvpy,Alhamdulillah Timnas Indonesia menang ,3,Love,0.3142159581184387
tttaatakaeee,@rahmammew @kamukamu11_ @idextratime gausah nonton bola kalo gamau dikerasin nonton plastik aja udeh sono. baru nonton timnas doang so paling tau goblok,3,Anger,0.35653188824653625
aprim4973,@Iyangaprill Wkwk slama gue nonton timnas sering pake syalalala apalgi di ug,7,Sad,0.2890684902667999
boyoftheyearrr,@Letterrnjnn rcti lupa kalo atmosfer sepakbola kita lagi naik otomatis dgn menyiarkan momen after match bisa menarik minat para masyarakat dan yg pasti menambah kesan dan nama baik dari pihak broadcaster btw ini ga cuma hanya waktu timnas tp waktu liga 1 kmrin jg gitu. salut emtek group,3,Fear,0.38851091265678406
ice_lychee_teaa,gmw ah maunya segrup sama timnas pusat,4,Joy,0.2776925265789032
DeadlyDazzle,@fauzisetiaw @idextratime @erickthohir pais main di timnas u21 waktu covid kemaren yg dimana umurnya sudah 22th jadi dianggap pemain senior oleh fifa dan fifa sendiri menolak perpindahan federasi. lalu Pssi meminta aju banding lewat pengadilan cas karena pssi tau ada celah disana yg bisa buat pais menang,3,Neutral,0.23713178932666779
yourspecious,gara timnas baru kali ini ngeliat ada cowok yang ceweknya ngomong i love you ke cowok lain ga marah cemburu dll,3,Sad,0.3827572464942932
kayarayaaaaa,@fucknatisme @revengeeeee_ @idextratime @bliblidotcom Ya kan mereka curang wasitnya juga ga adil. Ya kali timnas indo vs wasit mulu.,2,Joy,0.30240610241889954
AsamAminoCoffee,@nocontextpersib Persib lebih tinggi dari timnas ya. Salut deh.,1,Sad,0.3122030198574066
liputan6dotcom,Top 3: Adu Mahal Timnas Indonesia Vs Filipina Bikin Penasaran https://t.co/msmAVFbFOB #Bisnis,9,Love,0.26511600613594055
berrymintfrost_,agak salfok pas liat igs rizky febian ikylini timnas yeuu paulnabila timnasdeuy dahlah kalian berempat tuh!,3,Anger,0.2610369324684143
neufaisal,@Indostransfer Padahal pengen liat timnas vs Korut ~,8,Neutral,0.2891418933868408
ibrokumar,Yang saya suka dari lolosnya timnas indo di kualifikasi piala dunia adalah kesempatan naik rangkingnya bisa tinggi banget. Terutama klo bisa menang di beberapa pertandingan. Nggak kayak selama ini. Menangnya cuma sama negara asia tenggara aja.,3,Love,0.3180294930934906
confessyu,@Kayyisaaaaaa proud of timnas bisa terbang sejauh ini,3,Joy,0.784950315952301
eskapee_,@nocontextpersib psti langsung misuh misuh ngomong timnas jakarta,3,Anger,0.21782870590686798
Combro_Jumbo,@GIBOLofficial Mending mas Anang di Indonesia Idol ajah ga usah hadir di Timnas Indonesia... wkwkwkwk,3,Joy,0.2614196836948395
petitestardust,Gila jg kalo dipikir Asian cup sebelumnya harus berjuang dari R1. Tapi next lgsung qualify Gini rasanya punya timnas keren.,2,Anger,0.23879514634609222
Xenoverse98,@idextratime @bliblidotcom Timnas pusat timnas cabang timnas ranting menang semua ti https://t.co/k4qG3Xdbuo,3,Neutral,0.332980215549469
Fauziah01398513,@akunyup @HighlightS2945 @HabisNontonFilm Gaka da yg bilang ini pertandingan timnas,1,Anger,0.2959338426589966
tribunmedan,Posisi Timnas Indonesia di Ranking FIFA Merangkak Naik 5 Tiket Tersisa Menuju Piala Dunia https://t.co/LIZRFYImh2 via @tribunmedan,8,Anger,0.33733126521110535
peopleofkolor,@00beinghuman Tunggu aja kalo main jelek di seria a atau blunder di timnas paling juga dihujat . .,3,Joy,0.33173230290412903
JamhurJamhur2,@philmcnulty Sejarah timnas inggris di piala Eropa terbaik hanya terjadi 4 tahun lalu setara Belgia. Finalis terbanyak adalah timnas Jerman.,3,Joy,0.3688327968120575
hour_lymoon,rasanya ngeliat timnas full senyum gini tuh bahagia bgt yaaa️️,3,Joy,0.43769222497940063
balipuspanews,Libas Filipina Ranking FIFA Timnas Garuda Naik 4 Peringkat https://t.co/KPYQnOeLjX #Jakarta #Nasional #News #Sport #Filipina https://t.co/jLPEfiQ4YM,1,Neutral,0.2510243356227875
HEFFERONZA,@wanstio @Indostransfer Makanya bagusnya kita jgn bicara banyak dulu sebelum ngalahkan satu atau dua tim di putaran 3. Kalau U23 kemarin dah teruji australia dan Korea bisa dihajar.timnas senior ini belum tahu.,3,Sad,0.33720681071281433
CNNIndonesia,Kronologi Timnas Indonesia Lolos ke Babak 3 Kualifikasi Piala Dunia https://t.co/TRmetp84oD,2,Joy,0.37146997451782227
siska_np,Hedeuh banget liat story org nnton Timnas semalam ntah aku lagi mudah sensi sama org org ato emg lebay aja caranya nobar ,8,Love,0.23844611644744873
bagoesz,@SiaranBolaLive @fstyleanggit10 Yang penting timnas Indonesia menang. GBK adalah stadion kelas International. Kondisi rumput masih layak walaupun diguyur hujan. Tetap oke kok GBK. Bravo timnas Indonesia. Terimakasih Coach STY.,3,Joy,0.8196016550064087
Bian_Alfiansyah,Perjuangan nonton timnas. Berangkat ujan2an terus pas duduk disamping gua cewe² sekali nathan bawa bola apa ada pemain timnas ganteng dikit teriak2 melengking bgt kaya suara tonggeret dihutan... Busett dahh. https://t.co/FHuQhgbFs4,3,Neutral,0.32611966133117676
putrategar2709,Jay Idzes semalam benar-benar bikin tenang lini belakang. Justin Hubner juga bisa dibimbing dengan baik dan bebannya jauh berkurang. Selepas ini trio Rizky Ridho-Jay Idzes-Justin Hubner kayaknya yang bakal jadi trio utama di Timnas Indonesia. #TimNasDay,9,Joy,0.3517495095729828
halodiii,@idextratime @erickthohir Pak @erickthohir tolong naturalisasi semua pemain timnas prancis pak mumupung masih ada waktu saya yakin bakal EZ game pak serius.,4,Joy,0.2684676945209503
Cicilalang_ser,pertama hali gue yakin Timnas udah berubah ketika STY mampu ngebawa timnas runner up aff padahal itu pertama kali bagi beliau. Dan benar saja setelah itu kita lolos piala asia lewat kualifikasi dan 2 kali mengalahkan curacao yang saat itu peringkat 80-an fifa,3,Joy,0.6130967736244202
Mjhd_23,10 atau 20 tahun lalu klw lawan flipina jg menang trus bahkan sering kali skor besar. Bedanya dulu gak banyak bule aja di timnas.,3,Neutral,0.35268494486808777
kompasiana,Timnas Garuda Wakil Tunggal Asia Tenggara https://t.co/NYeRkN5iGg,4,Joy,0.21855956315994263
CNNIndonesia,Timnas Indonesia Selangkah Lagi ke Piala Dunia 2026 https://t.co/FOMSt2vILG,4,Joy,0.27199724316596985
BaroqahHusni,timnas main di GBK itu ribet ada tiga vendor soalnya.. sesneg yg mengelola GBK berikut acaranya broadcaster yg siaran dan PSSI sebagai peserta yg melakukan agenda FIFA. jika tidak musyawarah hasilnya jadi rumput jelek dan tiba-tiba anang konser di momen paling sakral ,3,Joy,0.26416051387786865
Retrouvailleste,Ternyata ada suporter klub lokal yg nyinyirin timnas ngerasa klubnya lebih besar dari timnas. Ya bebas aja si sebenernya cuma ya diem-diem aja sih harusnya gausah haus validasi.,1,Neutral,0.37974023818969727
deryan72,Timnas keren Yang fomo gak keren,8,Joy,0.5519543886184692
unamediff,@riswandiabdul @kakangcullay @nocontextpersib wkwkwkw jigana salah nempo nempona timnas jerman meureun,3,Anger,0.2502560019493103
bocilkemati4n,@yunuskedua Hayo timnas menang tu,4,Love,0.2652338147163391
kepin_kep,- Formula E balik ke Jakarta lagi - Timnas Indonesia lolos ke Piala Asia &amp; Babak ke 3 kualifikasi pildun - Verdonk sangat menjanjikan - Ten Hag perpanjang kontrak Indahnya dunia ,6,Joy,0.346842885017395
tempodotco,Shin Tae-yong Cari Pemain Keturunan Lagi Usai Timnas Lolos ke Putaran Ketiga Kualifikasi Piala Dunia 2026 https://t.co/LyROPCJj55 #TempoBola,4,Neutral,0.3531820774078369
xlovine,EH TIMNAS PUTRI INDONESIA JG MENANG YAA? CONGRATULATIONS Kece Scheuneman Zahmuz Citra dan semuanyaaa! Tim ketiduran pas half time gegara skrg kelas pagi,3,Neutral,0.48624086380004883
pirkicingiji,@UpdateBolabola Timnas mestinya sama TVRI aja. Jadi free striming.,8,Joy,0.24391433596611023
IDNTimesSport,Reaksi Calvin Verdonk Usai Debut Bareng Timnas Indonesia https://t.co/AZKRgkaKYJ,2,Joy,0.48109886050224304
Parj0B,@dbowo99 @afcasiancup lawannya entar bukan timnas nya tapi duit minyak bro,3,Anger,0.33902984857559204
shalofficial_,@Iyangaprill @luinnagara Lain yang loba bobotoh teu resep timnas dan malah menganggap persib teh timnasna org jabar. Boa edan,3,Anger,0.33020931482315063
CNNIndonesia,Pelatih Filipina Puji Timnas Indonesia Usai Kalah di GBK https://t.co/kDyUbY67jP,6,Joy,0.5093133449554443
SekarPandann,@samsecond_ SDM rendah IQ 78 yg kalau timnas kalah lngsung rasis polisnya aja ikut kepancing . The real IQ 78 :(,1,Sad,0.267014741897583
PinkyL_SM029_,@kibooocil Akhirnya mnang walaupun G nnton soalny klo nnton sllu klh jd tkut G prnh nnton lg klo timnas main cmn lihat hasil akhir aja,7,Anger,0.4438028037548065
aw_yena,@rianfatur @okinantan @fallingmonstar @SiaranBolaLive So... it must be Australia? Mengingat di piala asia kemarin timnas bisa ngobok2 di babak pertama. Tapi secara mental bagusan mrk sih harusnya krn udah langganan pildun,2,Joy,0.384764701128006
Baseballfuries,@fayzaans_ @nocontextpersib Wkwkwkwkwk euweuh timnas timnas lah this is Persib! Garugah,3,Joy,0.42100977897644043
PanjiScooteris,Apa kolerasi nya keluarga ini sama timnas? anak nya bisa jd player escort bpk emak nya nyanyi penutup laga yg semestinya kans supporter nyanyiin Indonesia pusaka utk punggawa nya dilapangan,3,Anger,0.2785649001598358
ledekrepp,@_shanindira Yah aku nonton timnas ketiduran ga nonton live nya. masih dicubitin ga?,2,Sad,0.3733559548854828
LaloMuslim33038,Timnas Indonesia satu-satunya dari Asia Tenggara yang lolos ke putaran ketiga Kualifikasi Piala Dunia 2026 https://t.co/4dpdbbY84E,2,Joy,0.21270105242729187
officialinews_,Kata Thom Haye usai Cetak Gol Debut di Timnas Indonesia: Hari yang Spesial! https://t.co/R4Z0N3o9CI,4,Joy,0.2498760223388672
amelamalia2088,STY Puji Performa Calvin Verdonk pada Debut Perdananya Bersama Timnas Indonesia https://t.co/BROTME1w3O lewat @KanalnewsC #TimNasDay #timnas,3,Joy,0.2776198983192444
BudiAri47581956,@idextratime Anang merusak suasana hati...utk pak Erik Tohir klo timnas main di gbk lg jangan ajak2 anang lg dong..snnrnya lagu indonesia raya dan indonesia pusaka sdh sangat2 bagus gk usah ada lg lain untuk momen2 spt ini,3,Joy,0.3858861029148102
Baseballfuries,@yyasirlana @luinnagara @nocontextpersib @Northsweet21 Euweuh timnas timnas this is Persib!,4,Joy,0.2849190831184387
lahfikar,@Kokorotomo51 @nocontextpersib Parah lu bang supporter timnas niruin Persib loh ,4,Anger,0.3050084710121155
