full_text,topic_cluster
GBK di bawah naungan Kemensekneg Direktur Utama Pusat Pengelolaan Kompleks Gelora Bung Karno (PPKGBK) Rakhmadi Arif Kusumo. Harga sewa GBK u PSSI sekitar 500juta dg kualitas rumput yg jelek begtu??? Kemungkinan u next Timnas akan bermain di Stadion Bung Tomo (SBY).,0
TIMNAS INDONESIA STOP MAIN DI GBK SAMPAI RUMPUT GBK IDEAL SELAMA ROUND 3 #AFC #WCQ2026 IYA GBK ADALAH STADION NASIONAL KEBANGSAAN BANGSA INDONESIA TAPI KONDISINYA JAUH DARI IDEAL!! MASIH BANYAK VENUE LAIN YANG LEBIH IDEAL!! SELAMA KONDISI TAK IDEAL STOP PAKE GBK!! SEPTEMBER https://t.co/95BFKiUzDP,0
Yg terhormat pak @erickthohir kalau nanti di match Timnas Indonesia mau ngundang artis after fulltime boleh saja pak. Tapi lagu wajib nyanyi itu #Indonesiapusaka bukan Rindu ini terasa indahnyaa yah pak,0
 Hari ini 𝑚𝑖𝑙𝑖𝑘 𝑘𝑖𝑡𝑎. https://t.co/joTwBt4c4A,0
Debut Calvin Verdonk terbilang menjanjikan. Sebagai wing back dia rajin naik-turun bantu serangan. Persaingan di sisi kiri bakal makin keras. Namun Nathan Tjoe-A-On kini sudah dapat posisi di gelandang dan gak ikut meramaikan persaingan di sisi kiri. #TimNasDay,0
Tanggung jawab lo @PSSI Dengkul 52M jadi gini gara2 rumput burik GBK! @erickthohir kasian Prof Haye Bebal bgt woi dari match2 kmrn di protes gada perbaikan tu rumput diliat2 Lagian kek gada stadion lain di Indonesia inii #TimnasDay,0
@kegblgnunfaedh Seruh dan menyenangkan hari ini #TimnasDay https://t.co/brbyveuld5,0
@SiaranBolaLive yg penting kalau bisa #TimnasDay jgn ketemu lgi sama bang Qavar riweh dah tuh team semua wasit sampe Var pun di pihak dia ‍ liat aja match mereka malam ini against negara Prindapan ,0
Pakai Foto Rafael Struick dan Nathan Pedagang Aksesoris Banjir Cuan Jualan di GBK #TimNasDay https://t.co/ABxS5c2GqI,0
@TimnasIndonesia Jadi kapan liganya dimulai lagi @PSSI? Kasian para pemain mau tryout di luar negeri kan perlu duit juga.,0
Rispek buat Bang Jay Idzes yang ngarahin pemain lain untuk ambil posisi dan nutupin pemain Filipina yang jatuh. #TimnasDay https://t.co/4ddOKaVObg,0
Mas calvin verdok apa mas carvajal bjir menolak penyesuaian main paling santuy tapi tajam #TimnasDay,0
BUKAN JOKOWI JUGA BUKAN PRABOWO. POLITISI TERMAHAL DI INDONESIA SAAT INI ? || Rumput Lepas #TimnasDay https://t.co/WJuD9lo3p7,0
mumpung lagi di bangkok ada yang mau titip jersey timnas thailand atau thai league? boleh request ya nanti kita bantu cariin #zonauang #Zonajajan #jersey #WTB #WTS https://t.co/yMb2Qwenwz,0
Kalo kondisi rumput GBK masih jelek mendingan buat konser aja. Timnas pake stadion lain yg layak,0
@cingreborn timnas kita kerennn #timnasday,0
@idextratime Tenang pak Haye setelah ini rumput gbk akan dibenerin lagi kok sampe bagus tapi ya buat konser bukan buat timnas,0
@TimnasIndonesia Sepatu htm kaos putih mau sekolah ke sd mna prof,0
Asli deh itu rumput GBK gabisa diurus kah? Jelek banget terus lapangannya alias kasian selebrasi The Professor failed tadi #TimnasDay https://t.co/oyPJ0n8cEA,0
RILL COY THOM HAYE BENERAN LANGSUNG KORENGAN #timnasday https://t.co/Txnkj8mmwO,0
Siap prof #timnasday https://t.co/82MYcHJfA7,0
@mas_triadhianto Congrats Timnas... tinggal mas @mas_triadhianto berjuang jadi Walkot Bekasi...semangaat mass,0
@HariPotter34587 @beerhetump Wkwkwk reaksi apa coba. Lalu apa bedanya kalian ini sama para penguasa ini kalo ada yg kritik dan emng gk suka sama rezim ini. Langsung dibungkam itu yg kritik. Lagian timnas kok gk boleh di kritik aneh,0
@SiaranBolaLive Alasan kenapa hanya GBK stadion yang selalu menjadi Venue pertandingan pertandingan besar . Dikarenakan hanya GBK yang kedaftar sebagai satu satunya stadion resmi buat pertandingan Timnas,0
️ Prediksimu ️ #KitaGaruda #TimnasDay https://t.co/7md0Qx5KIX,0
@SiaranBolaLive Setuju... sangat yakin timnas bisa main di luar GBK. 3 match terakhir jd bukti bahwa pengelola GBK sgt sgt tidak serius. Ayo pssi alternatif pasti ada.,0
Cek Tas Bahu Selempang Wanita Korean Vintage Style Shoulder Bag Besar Kulit PU Leather Lembut (T2-004) dengan harga Rp149.800. Dapatkan di Shopee sekarang! https://t.co/009ArQDs4n #TimnasDay,0
Lapangan GBK bener² jelek untuk taraf internasional. Serba salah juga klo cuma dipakai buat timnas main dana perawatan kurang. Terpaksa buat konser ok tapi ya memang gak dibuat untuk konser...,0
@00beinghuman Pemain yg dewasa sebelum umur nya Calon captain timnas di masa depan makasih untuk bang jay,0
Kemaren anaknya jadi pendamping pemain sekarang sang bapak ini nyanyi besok mungkin istrinya kebagian tugas ngelap handuknya Arhan. #TimnasDay,0
@TimnasIndonesia Nyebar manuk,0
@TimnasIndonesia Ini turnamen apa?,0
Malam ini mas Jayadi luar biasa aksinya dia ngelindungin pemain yg cidera itu bikin hati mleyot beneran definisi cowok green flag yang ijo neon stabilo terang benderang #TimnasDay cegil jauh jauh dari dia jgn kalian ganggu masku yang satu ini,0
Bansos KJP Plus Mei 2024 Segera Cair Pekan Ini Cek Besaran Nominal Dana yang Diterima https://t.co/mbhKDSoNnO CAPTAIN TAEHYUNG Polwan #TimnasDay Arhan Rumput GBK KISS OF LIFE Terong Lepas Struick Hot Mess Habib Rizieq Kyungsoo #LoveSeaEP1 McDonald Robby Purba Judol Tolol Syifa,0
@idextratime @erickthohir @PSSI @TimnasIndonesia Duit buat ngundang artis mending buat beli rumput tuh,0
Di luar nurul #TimNasDay #timnas #indonesiavsfilipina https://t.co/BzZP9Ng0ON,0
@TimnasIndonesia Wahh kok bisa,0
Puas banget pertama kali nyetadion nonton timnas di GBK lagi (terakhir 2018) langsung disuguhi permainan cantik dari para pemain terutama Thom Haye. Semoga soon bisa nonton Barça langsung https://t.co/CdXwtWHykb,0
rumputnya jelek rusak pake konser konseran naon sih #TimnasDay,0
@MafiaWasit Kenapa sampe segitunya? Emang orang Indonesia harus puji dan suka timnas selalu ya? Klo gasuka dicap tidak nasionalis kah?,0
Pagii hot mess Robby purba ngurangin doggy lemes sosmed timnas like piala dunia https://t.co/N0Qeer5vgz,0
@TimnasIndonesia jagooo terusss,0
@TimnasIndonesia kerennnnn,0
Asli heartwarming banget liat timnas kompak gini. Gaada gap antara pemain lokal &amp; diaspora ,1
@louthfizulX @GIBOLofficial Lagu pertama okelah ada hubungannya sama timnas lah lagu kedua gajelas,1
@Nyimakajja @idextratime @TimnasIndonesia @PSSI Staff JOT Admin ETI Gacor kang hedar ,1
Akhirnya pemain dan official nyanyi Tanah Airku di area suporter akibat penampilan Anang &amp; Friends . Angkat topi buat semuanya malam ini. #TimnasDay https://t.co/WH1Inw35aa,1
@benntool @idextratime Misal Uzbekistan &amp; Korsel ketemu King Indo 🇮🇩 lagi kira- kira pemainnya mereka masih trauma gak ya?? Asal gak ketemu Qotor aja lah Timnas T4I mereka mahh..,1
Supporter timnas memang terbaik merinding td lihatnya. Tp agak ngeselin sih td Anang sm Ashanty tiba2 nyanyi malah jd konseran pemain sm staff udh ke tengah ngumpul buat lingkaran nyanyi Indonesia pusaka malah g jadi. Untungnya langsung nyamperin supporter nyanyi breng,1
Tanah Airku ️ #TimNasDay https://t.co/IM7H9g3Y47,1
Merusak suasana kemenangan timnas https://t.co/4PFkMrhKXV,1
@GIBOLofficial Gw bayar 850rb cm mau nyanyi Indonesia Raya Timnas Menang Nyanyi Tanah Airku eh malah dia yg nyanyi.. RUSAK,1
Tanah Airku langsung dari GBK setelah kemenangan Timnas Indonesia. Merinding campur haru @TimnasIndonesia ------ #timnasindonesia #timnasday #tomhaye #ernando #jayidzes https://t.co/HFjTJ2CyVD,1
tidur sambil senyum-senyum gini liat maennya timnas https://t.co/E8Byxd7kDe,1
Heavy Rotation bergema di pertandingan @TimnasIndonesia malam ini 🇮🇩,1
Next match saran saya datangkan Ndarboy Genk untuk membawakan lagu Anak Lanang @erickthohir @PSSI @TimnasIndonesia,1
@Liyach4 Yang nyanyi inisiatif suporter timnas ,1
Akhirnya Terungkap Ternyata Ini Alasan Anang dan Ashanty Menghentikan Nyanyiannya dan Disoraki Suporter Timnas Indonesia https://t.co/jshjEqPBvd Anang Ashanty Thom Haye #TimNasDay Viral,1
@idextratime @erickthohir @PSSI @TimnasIndonesia Pasti heboh,1
Terima kasih atas permainan ciamiknya malam ini @TimnasIndonesia @SandyWalsh_ konsisten terus main bagus lurr! We're behind you!,1
@nocontextpersib Kiper timnas persib kejebolan tuh hahaha,1
Kita nikmati perjalanan panjang yang terus berproses,1
@iridocyclitys jangan jadikan @TimnasIndonesia sbg ajang utk panjat sosial siapapun anda. udah bener @Indonesia pusaka. lanjutkan saudara2 yang tetap teguh mencintai bal-balan.,1
@nocontextpersib Ah ngentot ! Lalaguan sia anjing ! Iyeu teh momen Timnas ulah di bere kisruh jeng asumsi maneh ! Bangsat sia teh !,1
Sedih bener level timnas maupun club ketika pemain sudah melingkar di tengah lapangan adalah momen sakral kedekatan pemain dengan suporter jangan pernah disela. Garis bawahi mo fomo,1
@kegblgnunfaedh Gara -gara anang and friends apaan sih... Merusak moment waktu yg di tunggu pemain dan supporter harusnya cukup nyanyiin sakral lagu tanah airku udah bikin kita seneng kok.. karena itu adalah perayaan sederhana yg paling ditunggu... #TimNasDay #timnasgaruda #indonesia,1
tinggal menunggu meme timnas hari ini ,1
Kalo emang itu briefing dan request dari panitia ya masa di iyain sih si anang. Minimal kan tim nya banyak itu. Ga ada yang ngasih tau buat nolak nyanyi ga jelas after timnas main ? Mantan anggota DPR tapi kok ga ngerti etika &amp; moral dah. Buset,1
@AMFTervaf @End_YD @SiaranBolaLive Stadion manahan bagus cuman kapasitasnya penontonnya kurang untuk laga home timnas butuh kapasitas yg lebih 40.000 penonton at least,1
Minum anang karaoke #TimNasDay,1
@yappinkton Gak nyangka timnas Indonesia ada pemain yg seperti Dani Carvajal pas nyerang bagus umpan2 bagus terukur pas defend juga cakep,1
setiap aftermatch Timnas Indonesia pas nyanyi lagu Tanah Airku 1 stadion atmosfernya langsung merinding,1
Anang Hermansyah Disoraki Suporter Gegara Nyanyi usai Laga Timnas Indonesia vs Filipina Disebut Merusak Momen https://t.co/6BWfzn0cdA,1
@syaifllh_s @qinderjoey @RusaaaaaZ @garistengah_id Yaudah kalian paling first repot amat. Btw timnas kita kemaren dapet trofi,1
@MafiaWasit Hahaha suporter timnas kampring ,1
Timnas indonesia gacor 🇮🇩,1
@dinivaldiani Abis match timnas bukannya nyanyi Indonesia Pusaka malahan konser Anang. Satu stadion boo-in ,1
Yang ngasi ide ke anang untuk nyanyi di stadion semalam siapa? Wkwkwkw #TimnasDay,1
Momen Bung Towel Dilempar Botol saat Komentari Laga Timnas vs Filipina https://t.co/n65LuuK8aN,1
STY sdh paham kemampuan dirinya &amp; personil Timnas U23 &amp; Senior. Betapa repot &amp; lelahnya Offisial STY &amp; pemain yg ada jk U23 kemarin lolos Olimpiade. Blm lg persiapan PILDUN &amp; AFF. Tp tak berarti STY 'sengaja' U23 gagal Olimpiade. Justru menambah pengalaman pemain U23.,1
@Gendis_JKT48 sebutkan 3 lagu timnas!,1
@lastpushh @kemalpalevi Panitia nya geblek masa gak tau ritual timnas selesai pertandingan ngumpul ditengah lapangan nyanyi Indonesia pusaka. Ini malah diilangin tolol emang @TimnasIndonesia,1
masih penasaran sama klarifikasi panitia yg punya akal anang &amp; friend s nyanyi ditengah euforia kemenangan timnas #anang,1
@TimnasIndonesia ️ you cantik cantik @TimnasIndonesia selamat ya malam yg indah dan hujan benar benar pembawah berkah 🇮🇩,1
